Nest,NumAnts,NestType,Pheromone Strength,Simulation,
R1,48,R,20,44,FALSE
R2,0,R,20,44,FALSE
R3,0,R,20,44,FALSE
R4,0,R,20,44,FALSE
D1,52,D,20,44,FALSE
D3,0,D,20,44,FALSE
D2,0,D,20,44,FALSE
D4,0,D,20,44,FALSE
R1,52,R,20,45,FALSE
R2,0,R,20,45,FALSE
R3,0,R,20,45,FALSE
R4,0,R,20,45,FALSE
D1,47,D,20,45,FALSE
D3,0,D,20,45,FALSE
D2,0,D,20,45,FALSE
D4,0,D,20,45,FALSE
R1,55,R,20,46,FALSE
R2,0,R,20,46,FALSE
R3,0,R,20,46,FALSE
R4,0,R,20,46,FALSE
D1,45,D,20,46,FALSE
D3,0,D,20,46,FALSE
D2,0,D,20,46,FALSE
D4,0,D,20,46,FALSE
R1,58,R,20,47,FALSE
R2,0,R,20,47,FALSE
R3,0,R,20,47,FALSE
R4,0,R,20,47,FALSE
D1,42,D,20,47,FALSE
D3,0,D,20,47,FALSE
D2,0,D,20,47,FALSE
D4,0,D,20,47,FALSE
R1,55,R,20,48,FALSE
R2,0,R,20,48,FALSE
R3,0,R,20,48,FALSE
R4,0,R,20,48,FALSE
D1,45,D,20,48,FALSE
D3,0,D,20,48,FALSE
D2,0,D,20,48,FALSE
D4,0,D,20,48,FALSE
R1,40,R,20,49,FALSE
R2,0,R,20,49,FALSE
R3,0,R,20,49,FALSE
R4,0,R,20,49,FALSE
D1,60,D,20,49,FALSE
D3,0,D,20,49,FALSE
D2,0,D,20,49,FALSE
D4,0,D,20,49,FALSE
R1,60,R,20,50,FALSE
R2,0,R,20,50,FALSE
R3,0,R,20,50,FALSE
R4,0,R,20,50,FALSE
D1,40,D,20,50,FALSE
D3,0,D,20,50,FALSE
D2,0,D,20,50,FALSE
D4,0,D,20,50,FALSE
