Nest,NumAnts,NestType,Pheromone Strength,Simulation,
R4,0,R,0,33,FALSE
D1,0,D,0,33,FALSE
D3,1,D,0,33,FALSE
D2,0,D,0,33,FALSE
D4,0,D,0,33,FALSE
R1,0,R,0,34,FALSE
R2,0,R,0,34,FALSE
R3,0,R,0,34,FALSE
R4,0,R,0,34,FALSE
D1,1,D,0,34,FALSE
D3,2,D,0,34,FALSE
D2,0,D,0,34,FALSE
D4,1,D,0,34,FALSE
R1,0,R,0,35,FALSE
R2,2,R,0,35,FALSE
R3,0,R,0,35,FALSE
R4,0,R,0,35,FALSE
D1,1,D,0,35,FALSE
D3,0,D,0,35,FALSE
D2,1,D,0,35,FALSE
D4,0,D,0,35,FALSE
R1,1,R,0,36,FALSE
R2,0,R,0,36,FALSE
R3,3,R,0,36,FALSE
R4,2,R,0,36,FALSE
D1,0,D,0,36,FALSE
D3,0,D,0,36,FALSE
D2,0,D,0,36,FALSE
D4,0,D,0,36,FALSE
R1,0,R,0,37,FALSE
R2,2,R,0,37,FALSE
R3,1,R,0,37,FALSE
R4,1,R,0,37,FALSE
D1,0,D,0,37,FALSE
D3,2,D,0,37,FALSE
D2,0,D,0,37,FALSE
D4,0,D,0,37,FALSE
R1,0,R,0,38,FALSE
R2,2,R,0,38,FALSE
R3,0,R,0,38,FALSE
R4,0,R,0,38,FALSE
D1,0,D,0,38,FALSE
D3,1,D,0,38,FALSE
D2,1,D,0,38,FALSE
D4,1,D,0,38,FALSE
R1,1,R,0,39,FALSE
R2,1,R,0,39,FALSE
R3,1,R,0,39,FALSE
R4,0,R,0,39,FALSE
D1,0,D,0,39,FALSE
D3,0,D,0,39,FALSE
D2,0,D,0,39,FALSE
D4,0,D,0,39,FALSE
R1,2,R,0,40,FALSE
R2,1,R,0,40,FALSE
R3,0,R,0,40,FALSE
R4,0,R,0,40,FALSE
D1,1,D,0,40,FALSE
D3,1,D,0,40,FALSE
D2,1,D,0,40,FALSE
D4,0,D,0,40,FALSE
R1,0,R,0,41,FALSE
R2,1,R,0,41,FALSE
R3,0,R,0,41,FALSE
R4,1,R,0,41,FALSE
D1,0,D,0,41,FALSE
D3,2,D,0,41,FALSE
D2,1,D,0,41,FALSE
D4,0,D,0,41,FALSE
R1,1,R,0,42,FALSE
R2,0,R,0,42,FALSE
R3,0,R,0,42,FALSE
R4,1,R,0,42,FALSE
D1,1,D,0,42,FALSE
D3,0,D,0,42,FALSE
D2,1,D,0,42,FALSE
D4,0,D,0,42,FALSE
R1,1,R,0,43,FALSE
R2,0,R,0,43,FALSE
R3,0,R,0,43,FALSE
R4,0,R,0,43,FALSE
D1,0,D,0,43,FALSE
D3,0,D,0,43,FALSE
D2,0,D,0,43,FALSE
D4,2,D,0,43,FALSE
R1,0,R,0,44,FALSE
R2,0,R,0,44,FALSE
R3,0,R,0,44,FALSE
R4,0,R,0,44,FALSE
D1,0,D,0,44,FALSE
D3,2,D,0,44,FALSE
D2,1,D,0,44,FALSE
D4,1,D,0,44,FALSE
R1,0,R,0,45,FALSE
R2,1,R,0,45,FALSE
R3,0,R,0,45,FALSE
R4,2,R,0,45,FALSE
D1,0,D,0,45,FALSE
D3,1,D,0,45,FALSE
D2,0,D,0,45,FALSE
D4,0,D,0,45,FALSE
R1,0,R,0,46,FALSE
R2,0,R,0,46,FALSE
R3,1,R,0,46,FALSE
R4,3,R,0,46,FALSE
D1,1,D,0,46,FALSE
D3,0,D,0,46,FALSE
D2,2,D,0,46,FALSE
D4,1,D,0,46,FALSE
R1,1,R,0,47,FALSE
R2,1,R,0,47,FALSE
R3,1,R,0,47,FALSE
R4,0,R,0,47,FALSE
D1,0,D,0,47,FALSE
D3,0,D,0,47,FALSE
D2,1,D,0,47,FALSE
D4,3,D,0,47,FALSE
R1,0,R,0,48,FALSE
R2,0,R,0,48,FALSE
R3,0,R,0,48,FALSE
R4,0,R,0,48,FALSE
D1,0,D,0,48,FALSE
D3,0,D,0,48,FALSE
D2,2,D,0,48,FALSE
D4,2,D,0,48,FALSE
R1,0,R,0,49,FALSE
R2,0,R,0,49,FALSE
R3,0,R,0,49,FALSE
R4,0,R,0,49,FALSE
D1,0,D,0,49,FALSE
D3,0,D,0,49,FALSE
D2,0,D,0,49,FALSE
D4,0,D,0,49,FALSE
R1,0,R,0,50,FALSE
R2,0,R,0,50,FALSE
R3,0,R,0,50,FALSE
R4,0,R,0,50,FALSE
D1,0,D,0,50,FALSE
D3,1,D,0,50,FALSE
D2,0,D,0,50,FALSE
D4,0,D,0,50,FALSE
